FACTORY ID,KEYTYPE ID,COUNT,UPPER_LIMIT,CRITICAL_LOWER_LIMIT,WARNING_LOWER_LIMIT,LAST_LOADED
CENTRAL,99,9247,10000,3300,6600,08-FEB-2012 13:16:17
CENTRAL,107,6990,10000,3300,6600,09-FEB-2012 16:16:01
CENTRAL,356,6995,10000,3300,6600,29-FEB-2012 17:55:30
CENTRAL,357,8497,10000,3300,6600,29-FEB-2012 18:02:27
CENTRAL,108,116,10000,-1,-1,18-MAY-2012 14:44:27
CENTRAL,74,57014,110000,36300,50000,12-JUN-2012 16:01:06
CENTRAL,91,804816,1000000,330000,660000,18-JUN-2012 15:38:56
CENTRAL,105,900000,1000000,330000,660000,18-JUN-2012 15:51:11
CENTRAL,119,1189598,1000000,330000,660000,19-JUN-2012 17:22:59
CENTRAL,81,900000,1000000,330000,660000,21-JUN-2012 16:31:03
CENTRAL,92,1300,20000,50,100,21-JUN-2012 16:45:02
CENTRAL,117,9000,10000,3300,6600,21-JUN-2012 17:00:02
CENTRAL,115,1644236,1000000,330000,660000,29-JUN-2012 00:51:21
CENTRAL,114,3626724,3000000,990000,1980000,29-JUN-2012 13:15:27
CENTRAL,129,3483,10000,1000,3000,12-JUL-2012 00:41:12
CENTRAL,127,794872,1000000,330000,660000,14-JUL-2012 12:47:39
CENTRAL,126,64402,100000,33000,60000,16-JUL-2012 10:47:45
CENTRAL,130,2998,10000,1000,2000,18-JUL-2012 12:55:37
CENTRAL,109,899500,1000000,330000,660000,05-SEP-2012 16:23:10
CENTRAL,139,880000,1000000,330000,660000,10-SEP-2012 11:45:53
CENTRAL,138,569596,1000000,330000,500000,26-SEP-2012 22:01:08
CENTRAL,144,844948,1000000,330000,660000,01-OCT-2012 13:57:59
CENTRAL,145,69114,70000,23100,46200,10-OCT-2012 17:37:21
CENTRAL,142,759644,1000000,330000,660000,12-OCT-2012 17:35:16
CENTRAL,149,1000000,1000000,330000,660000,15-NOV-2012 23:00:43
CENTRAL,150,1000000,1000000,330000,660000,15-NOV-2012 23:13:06
CENTRAL,151,1000000,1000000,330000,660000,15-NOV-2012 23:15:43
CENTRAL,93,78038,50000,16500,33000,13-DEC-2012 09:59:46
CENTRAL,24,38959636,50000000,16500000,33000000,07-JAN-2013 15:14:31
CENTRAL,125,570264,600000,198000,396000,20-FEB-2013 11:48:40
CENTRAL,35,1050000,1000000,330000,660000,28-MAR-2013 11:37:20
CENTRAL,153,10000,10000,3300,6600,09-APR-2013 18:45:36
CENTRAL,157,1750,10000,-1,1500,15-MAY-2013 11:50:21
CENTRAL,136,3700,10000,1500,3000,07-AUG-2013 09:55:56
CENTRAL,143,704484,1000000,330000,660000,16-AUG-2013 15:02:08
CENTRAL,141,663820,1000000,330000,660000,22-AUG-2013 12:57:23
CENTRAL,175,8000,5000,1650,3300,20-SEP-2013 13:07:45
CENTRAL,160,5783,1000000,2500,5000,17-OCT-2013 15:36:54
CENTRAL,161,200,0,-1,-1,06-NOV-2013 13:27:40
CENTRAL,195,5000,5000,1650,3300,24-JAN-2014 18:47:02
CENTRAL,19,3618052,5000000,1650000,3300000,29-JAN-2014 12:47:14
CENTRAL,13,3668120,5000000,1650000,3300000,29-JAN-2014 14:27:14
CENTRAL,197,9084,8000,2640,5280,07-MAR-2014 10:23:32
CENTRAL,191,3000,0,-1,-1,01-APR-2014 14:16:20
CENTRAL,132,100,250,-1,-1,01-APR-2014 18:26:21
CENTRAL,211,6400,10000,-1,-1,02-APR-2014 20:11:49
CENTRAL,205,89005723,102000000,33660000,67320000,04-APR-2014 12:16:54
CENTRAL,208,47100000,51000000,16830000,33660000,04-APR-2014 22:10:32
CENTRAL,62,100,0,-1,-1,15-APR-2014 09:37:21
CENTRAL,76,50,0,-1,-1,15-APR-2014 09:56:04
CENTRAL,147,11720460,11000000,3630000,7260000,24-APR-2014 12:06:29
CENTRAL,616,500,0,-1,-1,14-MAY-2014 17:00:38
CENTRAL,116,18670432,18000000,5940000,11880000,25-JUN-2014 15:36:39
CENTRAL,170,9500,0,-1,-1,27-JUN-2014 15:02:25
CENTRAL,120,9415,0,-1,-1,07-JUL-2014 14:47:50
CENTRAL,199,9668,0,-1,-1,07-JUL-2014 15:02:50
CENTRAL,63,399833,400000,132000,264000,16-JUL-2014 10:11:21
CENTRAL,82,249900,250000,82500,165000,16-JUL-2014 10:51:21
CENTRAL,214,9500,0,-1,-1,21-JUL-2014 08:44:37
CENTRAL,657,194,0,-1,-1,21-JUL-2014 15:24:37
CENTRAL,146,4598035,5000000,1650000,3300000,24-JUL-2014 12:28:26
CENTRAL,102,2304828,2000000,660000,1320000,30-JUL-2014 16:48:49
CENTRAL,90,18799838,18000000,5940000,11880000,31-JUL-2014 11:33:51
CENTRAL,186,5000,0,-1,-1,14-AUG-2014 17:24:28
CENTRAL,223,9494,10000,3300,6600,25-AUG-2014 09:59:56
CENTRAL,99996,8999005,0,-1,-1,08-SEP-2014 15:00:51
CENTRAL,99993,9900,0,-1,-1,08-SEP-2014 15:25:51
CENTRAL,128,9282625,9000000,2970000,5940000,11-SEP-2014 11:25:56
CENTRAL,131,2567760,2000000,660000,1320000,12-SEP-2014 09:50:59
CENTRAL,133,40852,100000,20000,30000,01-OCT-2014 14:18:00
CENTRAL,168,108358,200000,66000,100000,01-OCT-2014 14:38:00
CENTRAL,718,9720,10000,3300,6600,02-OCT-2014 12:48:02
