Product,Milestone,Die,Usage,Category,KeyType
NVL,ES,CPU0,D2D-1CDIE,INVENTORY,4580
NVL,ES,CPU0,D2D-2CDIE,INVENTORY,4581
NVL,ES,CPU0,EnDebug,NON_INV,4164
NVL,ES,CPU0,PartID,NON_INV,77777
NVL,ES,CPU0,Red,NON_INV,4604
NVL,ES,CPU0,User2,NON_INV,4605
NVL,ES,CPU0,Host,NON_INV,1600
NVL,ES,CPU1,D2D-1CDIE,INVENTORY,4580
NVL,ES,CPU1,D2D-2CDIE,INVENTORY,4581
NVL,ES,CPU1,EnDebug,NON_INV,4164
NVL,ES,CPU1,PartID,NON_INV,77777
NVL,ES,CPU1,Red,NON_INV,4604
NVL,ES,CPU1,User2,NON_INV,4605
NVL,ES,CPU1,Host,NON_INV,1599
NVL,ES,HUB,D2D-1CDIE,INVENTORY,4580
NVL,ES,HUB,D2D-2CDIE,INVENTORY,4581
NVL,ES,HUB,EnDebug,NON_INV,4163
NVL,ES,HUB,PartID,NON_INV,77777
NVL,ES,HUB,Red,NON_INV,4599
NVL,ES,HUB,User2,NON_INV,4601
NVL,ES,HUB,Host,NON_INV,1601
NVL,ES,HUB,HDCP,NON_INV,1317
NVL,ES,HUB,RandUniq,NON_INV,1479
NVL,ES,HUB,GSC ODCA,INVENTORY,4634
NVL,ES,GCD,D2D-1CDIE,INVENTORY,4580
NVL,ES,GCD,D2D-2CDIE,INVENTORY,4581
NVL,ES,GCD,EnDebug,NON_INV,4379
NVL,ES,GCD,PartID,NON_INV,77777
NVL,ES,GCD,Red,NON_INV,4602
NVL,ES,GCD,User2,NON_INV,4603
NVL,ES,GCD,Host,NON_INV,1602
NVL,ES,PCD_S,D2D-1CDIE,INVENTORY,4580
NVL,ES,PCD_S,D2D-2CDIE,INVENTORY,4581
NVL,ES,PCD_S,EnDebug,NON_INV,4160
NVL,ES,PCD_S,PartID,NON_INV,77777
NVL,ES,PCD_S,Red,NON_INV,4426
NVL,ES,PCD_S,User2,NON_INV,4425
