"ProductGroupNm","DesignItemDsc","RevStepCd","SpeedDesignId","YearQuarterTxt","YearMonthTxt","MfgLocationCd","DesignItemMilestone","MfgLocationStage","KF_Qty"
"NOVA LAKE","NOVA LAKE H PRODUCT","B0","10051746","202603","202609","VAL","POS","FINISH","16192"
"NOVA LAKE","NOVA LAKE H PRODUCT","B0","10051746","202604","202610","T90","QS","FINISH","245292"
"NOVA LAKE","NOVA LAKE H PRODUCT","B0","10051746","202604","202611","T90","QS","FINISH","366258"
"NOVA LAKE","NOVA LAKE H PRODUCT","B0","10051746","202701","202702","T90","QS","FINISH","72683"
"NOVA LAKE","NOVA LAKE H PRODUCT","B0","10051746","202701","202703","T90","QS","FINISH","55268"
"NOVA LAKE","NOVA LAKE H PRODUCT","B1","10051746","202604","202611","T90","QS","FINISH","1800"
"NOVA LAKE","NOVA LAKE H PRODUCT","B1","10051746","202604","202612","T90","QS","FINISH","156900"
"NOVA LAKE","NOVA LAKE H PRODUCT","B1","10051746","202701","202703","T90","QS","FINISH","158700"
"NOVA LAKE","NOVA LAKE H PRODUCT","B6","10051746","202604","202610","T90","QS","FINISH","85632"
"NOVA LAKE","NOVA LAKE H PRODUCT","B6","10051746","202604","202611","T90","QS","FINISH","127800"
"NOVA LAKE","NOVA LAKE H PRODUCT","B6","10051746","202604","202612","T90","QS","FINISH","156900"
"NOVA LAKE","NOVA LAKE H PRODUCT","B6","10051746","202701","202703","T90","QS","FINISH","158700"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B0","10051746","202603","202609","VAL","POS","TEST","8174"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B0","10051746","202604","202610","T90","QS","TEST","349614"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B0","10051746","202604","202611","T90","QS","TEST","272848"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B0","10051746","202701","202702","T90","QS","TEST","95472"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B0","10051746","202701","202703","T90","QS","TEST","24219"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B1","10051746","202604","202611","T90","QS","TEST","81600"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B1","10051746","202604","202612","T90","QS","TEST","120600"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B1","10051746","202701","202703","T90","QS","TEST","202200"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B6","10051746","202604","202611","T90","QS","TEST","81600"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B6","10051746","202604","202612","T90","QS","TEST","120600"
"NOVA LAKE","NOVA LAKE H PRODUCT-TEST","B6","10051746","202701","202703","T90","QS","TEST","202200"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C0","10051722","202603","202609","VAL","POS","FINISH","58314"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C0","10051722","202604","202610","VAL","POS","FINISH","5732"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C0","10051722","202604","202612","T90","QS","FINISH","366326"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C0","10051722","202701","202701","T90","QS","FINISH","42934"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C0","10051722","202701","202702","T90","QS","FINISH","159842"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C1","10051722","202604","202612","T90","QS","FINISH","18000"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C1","10051722","202701","202701","T90","QS","FINISH","150000"
"NOVA LAKE","NOVA LAKE HX PRODUCT","C6","10051722","202701","202701","T90","QS","FINISH","150000"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202603","202609","T90","QS","TEST","6000"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202603","202609","VAL","POS","TEST","49230"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202604","202610","VAL","POS","TEST","1940"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202604","202611","T90","QS","TEST","37892"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202604","202612","T90","QS","TEST","378668"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C0","10051722","202701","202702","T90","QS","TEST","162736"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C1","10051722","202604","202612","T90","QS","TEST","78000"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C1","10051722","202701","202701","T90","QS","TEST","108000"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C6","10051722","202604","202612","T90","QS","TEST","78000"
"NOVA LAKE","NOVA LAKE HX PRODUCT-TEST","C6","10051722","202701","202701","T90","QS","TEST","108000"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202603","202609","VAL","POS","FINISH","2012"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202604","202610","VAL","POS","FINISH","12100"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202604","202611","VAL","POS","FINISH","32240"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202604","202612","VAL","POS","FINISH","40300"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202701","202701","T90","QS","FINISH","75020"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202701","202701","VAL","POS","FINISH","14284"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202701","202702","T90","QS","FINISH","411192"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202701","202702","VAL","POS","FINISH","41396"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT","B0","10070459","202701","202703","T90","QS","FINISH","589371"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202603","202609","VAL","POS","TEST","2046"
