"ProductGroupNm","YearQuarterTxt","SpeedDesignId","DesignItemMilestone","MfgLocationStage","KF_Qty"
"NOVA LAKE","202603","10044315","QS","FINISH","136714"
"NOVA LAKE","202603","10044315","QS","TEST","312748"
"NOVA LAKE","202603","10044318","POS","FINISH","44500"
"NOVA LAKE","202603","10044318","POS","TEST","56260"
"NOVA LAKE","202603","10044318","QS","FINISH","103756"
"NOVA LAKE","202603","10044318","QS","TEST","269554"
"NOVA LAKE","202603","10044320","POS","FINISH","31740"
"NOVA LAKE","202603","10044320","POS","TEST","23718"
"NOVA LAKE","202603","10044320","QS","TEST","12880"
"NOVA LAKE","202603","10046219","ES2","FINISH","41738"
"NOVA LAKE","202603","10046219","ES2","TEST","18492"
"NOVA LAKE","202603","10051722","POS","FINISH","58314"
"NOVA LAKE","202603","10051722","POS","TEST","49230"
"NOVA LAKE","202603","10051722","QS","TEST","6000"
"NOVA LAKE","202603","10051746","POS","FINISH","16192"
"NOVA LAKE","202603","10051746","POS","TEST","8174"
"NOVA LAKE","202603","10053348","POS","FINISH","9888"
"NOVA LAKE","202603","10053348","POS","TEST","10022"
"NOVA LAKE","202603","10053348","QS","FINISH","391000"
"NOVA LAKE","202603","10053348","QS","TEST","558460"
"NOVA LAKE","202603","10056462","QS","FINISH","95914"
"NOVA LAKE","202603","10056462","QS","TEST","44306"
"RAZOR LAKE","202603","10060860","POS","FINISH","10722"
"RAZOR LAKE","202603","10060860","POS","TEST","11486"
"NOVA LAKE","202603","10062746","POS","FINISH","45070"
"NOVA LAKE","202603","10062746","POS","TEST","41726"
"NOVA LAKE","202603","10070459","POS","FINISH","2012"
"NOVA LAKE","202603","10070459","POS","TEST","2046"
"NOVA LAKE","202603","10071900","POS","FINISH","55702"
"NOVA LAKE","202603","10071900","POS","TEST","93062"
"NOVA LAKE","202604","10044315","QS","TEST","192164"
"NOVA LAKE","202604","10044318","POS","FINISH","22802"
"NOVA LAKE","202604","10044318","POS","TEST","20618"
"NOVA LAKE","202604","10044318","QS","FINISH","1289642"
"NOVA LAKE","202604","10044318","QS","TEST","1340426"
"NOVA LAKE","202604","10044320","POS","FINISH","39600"
"NOVA LAKE","202604","10044320","POS","TEST","79200"
"NOVA LAKE","202604","10044320","QS","FINISH","409840"
"NOVA LAKE","202604","10044320","QS","TEST","629730"
"RAZOR LAKE","202604","10046183","POS","FINISH","75994"
"RAZOR LAKE","202604","10046183","POS","TEST","109177"
"NOVA LAKE","202604","10051722","POS","FINISH","5732"
"NOVA LAKE","202604","10051722","POS","TEST","1940"
"NOVA LAKE","202604","10051722","QS","FINISH","384326"
"NOVA LAKE","202604","10051722","QS","TEST","572560"
"NOVA LAKE","202604","10051746","QS","FINISH","1140582"
"NOVA LAKE","202604","10051746","QS","TEST","1026862"
"NOVA LAKE","202604","10053348","QS","FINISH","307966"
"NOVA LAKE","202604","10053348","QS","TEST","188832"
"NOVA LAKE","202604","10056462","POS","FINISH","360960"
"NOVA LAKE","202604","10056462","POS","TEST","739440"
"NOVA LAKE","202604","10056462","QS","FINISH","216000"
"NOVA LAKE","202604","10056462","QS","TEST","216000"
"RAZOR LAKE","202604","10060860","ES1","FINISH","35664"
"RAZOR LAKE","202604","10060860","ES1","TEST","42858"
"RAZOR LAKE","202604","10060860","ES2","FINISH","24000"
"RAZOR LAKE","202604","10060860","ES2","TEST","24000"
"RAZOR LAKE","202604","10060860","POS","FINISH","93078"
"RAZOR LAKE","202604","10060860","POS","TEST","141680"
"NOVA LAKE","202604","10062746","QS","FINISH","437464"
"NOVA LAKE","202604","10062746","QS","TEST","508462"
"NOVA LAKE","202604","10070459","POS","FINISH","84640"
"NOVA LAKE","202604","10070459","POS","TEST","91328"
"NOVA LAKE","202604","10071900","POS","TEST","83312"
"NOVA LAKE","202604","10071900","QS","FINISH","4800"
"NOVA LAKE","202604","10071900","QS","TEST","4800"
"NOVA LAKE","202604","10072548","POS","FINISH","15868"
"NOVA LAKE","202604","10072548","POS","TEST","16154"
"RAZOR LAKE","202604","10073967","QS","FINISH","6000"
"RAZOR LAKE","202604","10073967","QS","TEST","6000"
"RAZOR LAKE","202604","10084517","","FINISH","1200"
"NOVA LAKE","202701","10044315","QS","TEST","249777"
"NOVA LAKE","202701","10044318","QS","FINISH","43528"
"NOVA LAKE","202701","10044318","QS","TEST","50110"
"NOVA LAKE","202701","10044320","POS","FINISH","39600"
"NOVA LAKE","202701","10044320","QS","FINISH","61334"
"NOVA LAKE","202701","10044320","QS","TEST","70387"
"RAZOR LAKE","202701","10046179","QS","FINISH","5672"
"RAZOR LAKE","202701","10046179","QS","TEST","6342"
"RAZOR LAKE","202701","10046183","ES","FINISH","3600"
"RAZOR LAKE","202701","10046183","ES","TEST","26108"
"RAZOR LAKE","202701","10046183","POS","FINISH","128875"
"RAZOR LAKE","202701","10046183","POS","TEST","178957"
"NOVA LAKE","202701","10051722","QS","FINISH","502776"
"NOVA LAKE","202701","10051722","QS","TEST","378736"
"NOVA LAKE","202701","10051746","QS","FINISH","445351"
"NOVA LAKE","202701","10051746","QS","TEST","524091"
"NOVA LAKE","202701","10053348","QS","FINISH","265579"
"NOVA LAKE","202701","10053348","QS","TEST","338015"
"NOVA LAKE","202701","10056462","POS","FINISH","343320"
"NOVA LAKE","202701","10056462","POS","TEST","143040"
"NOVA LAKE","202701","10056462","QS","FINISH","12000"
"NOVA LAKE","202701","10056462","QS","TEST","28524"
"RAZOR LAKE","202701","10060860","ES1","FINISH","5321"
"RAZOR LAKE","202701","10060860","ES1","TEST","8783"
"RAZOR LAKE","202701","10060860","ES2","FINISH","363344"
"RAZOR LAKE","202701","10060860","ES2","TEST","338727"
"RAZOR LAKE","202701","10060860","POS","FINISH","188670"
"RAZOR LAKE","202701","10060860","POS","TEST","220878"
"RAZOR LAKE","202701","10060860","QS","TEST","36396"
"NOVA LAKE","202701","10062746","QS","FINISH","194706"
"NOVA LAKE","202701","10062746","QS","TEST","139196"
"NOVA LAKE","202701","10070459","POS","FINISH","55680"
"NOVA LAKE","202701","10070459","POS","TEST","51449"
"NOVA LAKE","202701","10070459","QS","FINISH","1075583"
"NOVA LAKE","202701","10070459","QS","TEST","1295718"
"NOVA LAKE","202701","10071900","POS","FINISH","50780"
"NOVA LAKE","202701","10071900","POS","TEST","51417"
"NOVA LAKE","202701","10071900","QS","FINISH","550850"
"NOVA LAKE","202701","10071900","QS","TEST","688164"
"NOVA LAKE","202701","10072548","POS","FINISH","7935"
"NOVA LAKE","202701","10072548","POS","TEST","8074"
"NOVA LAKE","202701","10072548","QS","FINISH","218813"
"NOVA LAKE","202701","10072548","QS","TEST","219831"
"RAZOR LAKE","202701","10073967","POS","FINISH","72525"
"RAZOR LAKE","202701","10073967","POS","TEST","73822"
"RAZOR LAKE","202701","10073967","QS","FINISH","7200"
"RAZOR LAKE","202701","10073967","QS","TEST","9000"
"NOVA LAKE","202702","10044315","QS","TEST","1180827"
"NOVA LAKE","202702","10044318","QS","TEST","12000"
"NOVA LAKE","202702","10044320","POS","TEST","12000"
"RAZOR LAKE","202702","10046179","POS","FINISH","68438"
"RAZOR LAKE","202702","10046179","POS","TEST","98074"
"RAZOR LAKE","202702","10046179","QS","FINISH","650304"
"RAZOR LAKE","202702","10046179","QS","TEST","727416"
"RAZOR LAKE","202702","10046183","ES","FINISH","107496"
"RAZOR LAKE","202702","10046183","ES","TEST","110693"
"RAZOR LAKE","202702","10046183","POS","FINISH","106922"
"RAZOR LAKE","202702","10046183","POS","TEST","125265"
"NOVA LAKE","202702","10056462","QS","TEST","13761"
"RAZOR LAKE","202702","10060860","ES2","FINISH","129600"
"RAZOR LAKE","202702","10060860","ES2","TEST","124200"
"RAZOR LAKE","202702","10060860","POS","FINISH","120820"
"RAZOR LAKE","202702","10060860","POS","TEST","116940"
"RAZOR LAKE","202702","10060860","QS","FINISH","213119"
"RAZOR LAKE","202702","10060860","QS","TEST","273000"
"NOVA LAKE","202702","10071900","QS","FINISH","91038"
"NOVA LAKE","202702","10071900","QS","TEST","59376"
"NOVA LAKE","202702","10073137","QS","FINISH","252000"
"NOVA LAKE","202702","10073137","QS","TEST","252000"
"RAZOR LAKE","202702","10073967","QS","FINISH","406446"
"RAZOR LAKE","202702","10073967","QS","TEST","424692"
"RAZOR LAKE","202703","10046179","POS","FINISH","17300"
"RAZOR LAKE","202703","10046179","POS","TEST","24802"
"RAZOR LAKE","202703","10046180","POS","FINISH","57346"
"RAZOR LAKE","202703","10046180","POS","TEST","89788"
"RAZOR LAKE","202703","10046183","POS","FINISH","19218"
"RAZOR LAKE","202703","10046183","POS","TEST","44925"
"RAZOR LAKE","202703","10051728","POS","FINISH","57525"
"RAZOR LAKE","202703","10051728","POS","TEST","90765"
"RAZOR LAKE","202703","10053366","POS","FINISH","58814"
"RAZOR LAKE","202703","10053366","POS","TEST","102081"
"RAZOR LAKE","202703","10060860","QS","FINISH","429056"
"RAZOR LAKE","202703","10060860","QS","TEST","397738"
"RAZOR LAKE","202703","10061167","POS","FINISH","168425"
"RAZOR LAKE","202703","10061167","POS","TEST","191884"
"RAZOR LAKE","202703","10061167","QS","FINISH","73766"
"RAZOR LAKE","202703","10061167","QS","TEST","88799"
"RAZOR LAKE","202703","10072807","POS","FINISH","57657"
"RAZOR LAKE","202703","10072807","POS","TEST","83571"
"RAZOR LAKE","202703","10072807","QS","FINISH","0"
"RAZOR LAKE","202703","10072807","QS","TEST","0"
"RAZOR LAKE","202703","10077287","POS","FINISH","76602"
"RAZOR LAKE","202703","10077287","POS","TEST","113223"
